content,owner,noteable_id,noteable_type,noteable_name,created_at,id,noteable_company_name,noteable_first_name,noteable_last_name,updated_at
"KAYAK partnership update meeting - 3/14/14

Attendees: 
Ingrid Michelson
Carolyn, Noreen


Summary takeaways:

The good
They love our pop-unders and we’re seen as locked in there
The want to expand our footprint as much as possible, including:
iPad
UK
Multi-product exit units
Show Hotel / Flights to Car and Package shoppers
They are interested in Cars and Packaging when we launch (but volumes are tiny)
They are interested in Cars and Packaging when we launch (but volumes are tiny)
They are very interested in ideas on how we can backfill when they have poor liquidity
This is very consistent with the feedback from TA
But… it seems like they’ve hacked together an ad serving system with very little control around decisioning 
Ingrid runs their audience monetization and is actively interested in discussing  how we could partner

The bad
Ingrid doesn’t seem to be a decision maker or actually know how decisions do get made
Giorgos continues to be the key guy (from what I can tell)
Our SRP test was not successful
We drove ~$5 net eCPM
They see $30-35 net eCPM on the home grown products (if we can take Ingrid at face value)
The Sales team HATED it - they cheered when they announced they were shutting it off
We may have an opportunity to re-test, but likely not on full traffic
Potential to target paid traffic only - they have a current initiative to get more aggressive for this slice (“to whore up our landing pages”)
Potential to target long tail (<20 markets), which is apparently 90% of traffic
Neither seemed likely
The Front door iFC test is very unlikely - again, major conflict with direct sales team efforts
Further, Ingrid thinks that the CPCs are equally strong on home page vs on page placements on their side
She had no update on Mobile timing (however, it seems that they lost several Mobile engineers, hence the delay)

Actions:
CSS to send follow ups
Confirm mobile launch timing
Confirm traffic mix (tablets and split by product)
Send updates multi-tab XU mockups
Evaluate adding XUs to other product paths
CSS to provide intro for Josh on audience monetization

Other context:
KAYAK priorities
Apparently, 4 months ago (with the Chrome / Safari 6.1 releases), KAYAK had a massive panic, took multi-click and pop-unders out of their plan for the year
This was when Giorgos came to use and asked what creative ideas we had and initiated the test
Since then, they’ve found 2 great solutions (Click Tabs and interstitials) and have had a nice windfall in revenues - so frankly we’re just not as critical right now
Direct sales conflict
We got a lot more context on the Sales pressures
They have no interest in giving up direct relationships
The Sales team definitely feels like we’re encroaching on their turf
We are not currently considering outsourcing any big components of their Compare vs. KAYAK program
KAYAK org
Ingrid reports to Kristina who runs global sales and who reports into Keith
It’s pretty clear that Product is driving in our relationship
Ingrid is kind and collaborative, but still seems out of the loop on what we are doing and why
She openly admitted that she needs to start working directly with Giorgos (she’s been working through Kristen, which hasn’t been effective)
In the meantime, reinforced for me that Giorgos is calling the shots and that he’s who we need to sell
Rough traffic mix data
Flights - 2.5-3MM queries per day
Hotels - 300-400K queries per day
Cars - 100K gueries per day
Packages - 40-50K queries per day
She thinks they see 2-3 page views per queries
I don’t trust this at all…
Decisioning
KAYAK currently shows much more aggressive display advertising for the long tail (and it’s doing really well for them)
They define long tail as anything other than Top 20 markets (roughly 90% of traffic)
She’d love to see if there’s a differentiated approach that makes sense, but they seem to have very limited functionality in current systems
I talked through segmentation (which she remembered from her Expedia days), but it didn’t seem like a near term fit
On page test
She agreed the results were confusing
She thinks it’s possible that there could have been a bug that was double counting impressions on their side (though I’m skeptical that this would have impacted us)
Apparently we are not even in the ball park - she thinks they see $30-35 eCPM from the corresponding Compare placements that they run
I still can’t get my head around how we could be so far off...
Mobile
She had no context still (despite being copied on 4 requests for more intel)
Apparently, a couple Mobile engineers left recently (potential driver for the delay)
3rd party retargeting	
This is the one thing Ingrid actually owns and gets and needs
I’m actually optimistic about our ability to progress this, if we want to
We didn’t get into the details, but she definitely wants to juice display media campaigns
SSN for KAYAK
Interest was piqued in long tail liquidity that we could offer
That said, the Aria ad (and others like it) are home grown, direct sold ads
She wasn’t in a position to share any performance data, but it didn’t seem like SSN was going to be a priority
",Carolyn Starrett,64266100,SalesAccount,,2014-07-12T15:11:54Z,17091175,KAYAK,,,2014-07-12T15:11:54Z
"https://docs.google.com/a/intentmedia.com/document/d/1-3GxObz-O1yRKiF1jGUqZuKBcvoUORhj47y9te2m59o/edit
",Carolyn Starrett,64266100,SalesAccount,,2014-07-12T15:14:07Z,17091182,KAYAK,,,2014-07-12T15:14:07Z
"KAYAK partnership update with Ingrid M - 3/14/14
https://docs.google.com/a/intentmedia.com/document/d/1-3GxObz-O1yRKiF1jGUqZuKBcvoUORhj47y9te2m59o/edit",Carolyn Starrett,64266100,SalesAccount,,2014-07-12T15:14:35Z,17091186,KAYAK,,,2014-07-12T15:14:35Z
@lynne - Is this deal actually approved? Or should we kick it back to Pitching?,Carolyn Starrett,3892042,Deal,AMOMA.com UK - PPA - Hotel - OP - Details Page,2014-07-12T18:07:52Z,17092185,,,,2014-07-12T18:07:52Z
"3/14/14 - KAYAK partnership update with Ingrid M 

Meeting notes - https://docs.google.com/a/intentmedia.com/document/d/1-3GxObz-O1yRKiF1jGUqZuKBcvoUORhj47y9te2m59o/edit

Meeting materials - https://drive.google.com/a/intentmedia.com/file/d/0B9lrKLyQbfKjU1hoTDZJWk85UTA/edit?usp=sharing",Carolyn Starrett,64266100,SalesAccount,,2014-07-18T16:58:56Z,18237397,KAYAK,,,2014-07-18T17:08:15Z
"6/9/14 - KAYAK partnership updates 

Meeting notes - https://docs.google.com/a/intentmedia.com/document/d/11dwT22YeV7_zdMmT4scgA0QSHd3MKb_4lIA5eJnbqTs/edit",Carolyn Starrett,64266100,SalesAccount,,2014-07-18T17:01:20Z,18237456,KAYAK,,,2014-07-18T17:01:20Z
"6/16/14 - KAYAK review of key initiatives w/ Ingrid + Stewart

Meeting notes - https://docs.google.com/a/intentmedia.com/document/d/1kY4qK51j9qYp9lRUYzKy3RJBpjd2onkMS3rwofPBLhU/edit",Carolyn Starrett,64266100,SalesAccount,,2014-07-18T17:03:01Z,18237621,KAYAK,,,2014-07-18T17:04:03Z
"Latest design recommendation from KAYAK attached below. 

My sense here it that we should keep this simple and just go with what they want - through feel free to tweak any specific issues in the design.  Then once it’s up, we can pitch optimizations (color, headline, etc).

One specific question, do we have ability to keep the multi-click button grey, then add color once a user checks any of our advertisers? I feel like that would be helpful in this context.

Any other major flaws in the design that we should point out to them? Looks like this test is coming in mid-Aug, so we have time...?",Carolyn Starrett,3892217,Deal,KAYAK - SCA - Flight - OP - List Page Backfill,2014-07-18T17:13:12Z,18238914,,,,2014-07-18T17:15:04Z
6/4-5/14 - OWW Q2 QBRs meeting notes: https://docs.google.com/a/intentmedia.com/document/d/1Xu2Hjpj9UrGqQ9Z527wgd0cqkx71xLklEMytmEWuTj4/edit,Carolyn Starrett,64116311,SalesAccount,,2014-07-21T15:48:12Z,19804461,"Orbitz Worldwide, Inc.",,,2014-07-21T15:48:12Z
Launched at 50/50 test; test expected to continue for up to 2 months.,Carolyn Starrett,3892142,Deal,Expedia.ca - SCA - Flight - OP - List Page,2014-07-31T18:03:05Z,20533513,,,,2014-07-31T18:03:05Z
Currently showing 30% instead of 50% of traffic as planned and fill rate is 50%. Lynne / Angus working to address with PQ.,Carolyn Starrett,3892226,Deal,lastminute.com - PPA - Hotel - OP - List Page,2014-07-31T18:10:41Z,20533697,,,,2014-07-31T18:10:41Z
@Jess - can you add the final Hotwire QBR deck and notes from 7/24 when you get a chance?,Carolyn Starrett,64116451,SalesAccount,,2014-08-01T00:01:54Z,20570918,"Expedia, Inc.",,,2014-08-01T00:09:25Z
@Lynne - Just grabbed the final Tzoo QBR deck from Jul 25th. Thanks so much for loading it here!,Carolyn Starrett,64266126,SalesAccount,,2014-08-01T00:09:48Z,20570993,Travelzoo Inc.,,,2014-08-01T00:09:48Z
"Ingrid said no way as of Mar 2014. Too strategic for KAYAK. However, potential to explore backfill only solution.",Carolyn Starrett,3864679,Deal,KAYAK - SCA - Flight - iFC (pre-check),2014-08-08T20:12:54Z,21079188,,,,2014-08-08T20:12:54Z
"Ingrid said no way as of Mar 2014. Too strategic for KAYAK. However, potential to explore backfill only solution.",Carolyn Starrett,3864649,Deal,KAYAK - SCA - Hotel - iFC (pre-check),2014-08-08T20:13:08Z,21079244,,,,2014-08-08T20:13:23Z
"HENRICK / HOTWIRE PPA CALL NOTES - 8/26/14

Link: https://docs.google.com/a/intentmedia.com/spreadsheets/d/1RosGUKCWsaptUaaqohVliPbeeTQ3xeZGeC8xj0Edi00/edit#gid=1599530751",Carolyn Starrett,64116451,SalesAccount,,2014-08-27T02:15:05Z,22090146,"Expedia, Inc.",,,2014-08-27T02:15:05Z
6/24/2014 - SIZING: RM provided opportunity sizing -- UK Air only,Noreen Henry,64266073,SalesAccount,,2014-07-17T15:25:54Z,17924961,AirTickets,,,2014-08-02T04:03:38Z
"7/3/2014 - SIZING: NH provided AirTickets with sizing information and business proposal via email:
- Product:  SC-Air - EZ$
- Scope:   90 day test UK site -- roll to US and .com after
- 2 Tier Rev/Share:  1) 0-$500K= 50%  2) >$500K = 55%
- Term: 1 yr auto renew ",Noreen Henry,64266073,SalesAccount,,2014-07-17T15:29:20Z,17925897,AirTickets,,,2014-08-02T04:03:38Z
"7/9 - PROPOSAL REVIEW CALL - with Thodoris.  Went well... moving to contract

See meeting notes:  https://docs.google.com/a/intentmedia.com/document/d/1GT2mO_BuPps5C3rxl7bDcXXmQS02qxhPjlb4s_aOfl8/edit
",Noreen Henry,64266073,SalesAccount,,2014-07-17T15:29:55Z,17926049,AirTickets,,,2014-08-02T04:03:38Z
"6/16/2014 - SSN DEEP DIVE presentation to Jesper and Antoine.

call notes Google Docs link:
https://docs.google.com/a/intentmedia.com/document/d/1IJSklMaNopxP3Tq6Etc3r9I_uuJxkQpf_tvqPqOZ5yk/edit",Noreen Henry,64266104,SalesAccount,,2014-07-17T16:33:29Z,17940916,LateRooms,,,2014-07-17T16:35:33Z
6/26/2014 - MOCK UPS - complete,Noreen Henry,64266104,SalesAccount,,2014-07-17T16:40:59Z,17941495,LateRooms,,,2014-07-17T16:40:59Z
"3/14/2014 -- INTRO MEETING - to Bryan Lip from EAN in NY office.  

Link to meeting notes:  
https://docs.google.com/a/intentmedia.com/document/d/1Bt5LIFw8wlFm6W-Qoy3DUoFOIaE_DCZnOgM2Vm0p6ck/edit#

",Noreen Henry,64351774,SalesAccount,,2014-07-17T17:29:02Z,17943824,Expedia Affiliate Network,,,2014-07-17T17:29:02Z
"7/8/2014 - PRODUCT MEETING - with Bryan Lip and Steven Humphries in London

Link to meeting notes:  
https://docs.google.com/a/intentmedia.com/document/d/15E2kGF1m4lZS7j6uUtodh6EzRiVHwxEPcpg8gWkIPz0/edit",Noreen Henry,64351774,SalesAccount,,2014-07-17T17:53:42Z,17947845,Expedia Affiliate Network,,,2014-07-17T17:53:42Z
"7/11/2014 - RH had coffee meeting in Amsterdam with Nicole Rogers.  Pitched PPA and product suite.  

Sent handout as follow up:
- Intent Media Intro to Booking.com July 2014 v3v09.pdf",Noreen Henry,64266076,SalesAccount,,2014-07-17T18:41:08Z,17955604,Booking.com Affiliate Network,,,2014-07-31T01:29:40Z
"5/12/2014 - Sent Kit contract for review.  (He's been radio silent since).  

Terms:
- Product:  Search Compare Air & Hotel - EZ$
- Rev Share Tiers proposed due to high growth potential:
(a)	60% of Net Revenue for monthly Net Revenue from $0 - $250,000 received by Intent Media during the first 4 calendar months following the initial launch of the Search Compare Service (such period, “Initial Period”)
(b)	55% of Net Revenue for monthly Net Revenue from $0 - $250,000 received by Intent Media after the Initial Period
(c)	60% of Net Revenue for monthly Net Revenue from $250,001 - $666,667 received by Intent Media after the Initial Period
(d)	65% of Net Revenue for monthly Net Revenue over $666,667 received by Intent Media after the Initial Period.

",Noreen Henry,64266084,SalesAccount,,2014-07-17T18:47:48Z,17955765,Clicksco,,,2014-08-02T04:08:34Z
5/15- follow up email -- no response,Noreen Henry,64266084,SalesAccount,,2014-07-17T18:48:47Z,17955793,Clicksco,,,2014-08-02T04:08:34Z
6/1- follow up email -- no response,Noreen Henry,64266084,SalesAccount,,2014-07-17T18:50:10Z,17955812,Clicksco,,,2014-08-02T04:08:34Z
"3/12/2014 - INITIAL CALL

See notes here:
https://docs.google.com/a/intentmedia.com/document/d/1WlPeEhEvpceCH_jD55UtgOywxFcWElu-9J1LZWPLE2M/edit",Noreen Henry,64266084,SalesAccount,,2014-07-17T18:56:03Z,17955939,Clicksco,,,2014-08-02T04:08:34Z
"3/17/2014 - INITIAL Biz Dev Call

See notes here:

https://docs.google.com/a/intentmedia.com/document/d/1v7tIcu-COjv2iMR8NMl171cVnc_ZI7IJxi-5ey5nEb4/edit",Noreen Henry,64266084,SalesAccount,,2014-07-17T18:57:30Z,17955962,Clicksco,,,2014-08-02T04:08:34Z
"7/17/2014 - CONTRACT - NH sent Kit another follow up note.  Will likely move to ""ice box"" if I don't hear back",Noreen Henry,64266084,SalesAccount,,2014-07-17T19:03:08Z,17956123,Clicksco,,,2014-08-02T04:08:34Z
"7/14/2014 - ADS SALES: NH introduced Casey to ad side - Jim Banks, Global Head of Biddable Media",Noreen Henry,64266107,SalesAccount,,2014-07-17T19:40:34Z,17960710,Momondo,,,2014-07-17T19:42:43Z
7/16 - NDA - NH sent Kam signed NDA,Noreen Henry,64266107,SalesAccount,,2014-07-17T19:41:12Z,17960821,Momondo,,,2014-07-17T19:42:58Z
7/14 - DATA REQUEST - NH sent Kam data request for sizing,Noreen Henry,64266107,SalesAccount,,2014-07-17T19:42:08Z,17960990,Momondo,,,2014-07-17T19:42:08Z
"7/16 - SIZING - NH sent Kam ballpark Search Form metrics on the US network.

Illustrative Search Form Monetization on US network:
- Interaction rate = ~80%
- Clicks per Interaction = 2.6
- CTR = 208%
- CPC = $0.32 - $0.50 USD --- note the CPCs on average are at the lower range of this spectrum ($0.32 - $0.36), but we have recently seen CPCs at the high end as advertiser have become more aggressive in their bidding in the auction.
",Noreen Henry,64266107,SalesAccount,,2014-07-17T19:43:50Z,17961263,Momondo,,,2014-07-17T19:43:50Z
"5/20 - INITIAL MEETING - NH & RH met with Vic and Will in EU at PhocusWright conference

See link to meeting notes:
https://docs.google.com/a/intentmedia.com/document/d/14hqMTmypVz4El5pSr7U-v8PrrW9CHuMOKkhhFclPSMI/edit",Noreen Henry,64266124,SalesAccount,,2014-07-17T22:08:42Z,17984982,TravelSupermarket,,,2014-07-17T22:11:32Z
"7/10/2014 - FOLLOW UP MEETING - NH & RH met with Vic and Will in London near their office

see link to meeting notes:
https://docs.google.com/a/intentmedia.com/document/d/1rtIfCdjtM4cWy8n_J8U1TencWWDuExs9LFEzqHpedO8/edit",Noreen Henry,64266124,SalesAccount,,2014-07-17T22:11:06Z,17985320,TravelSupermarket,,,2014-07-17T22:11:06Z
7/9/2014 - MOCKUPS - delivered to NH from design (ACB),Noreen Henry,64266124,SalesAccount,,2014-07-17T22:13:15Z,17985760,TravelSupermarket,,,2014-07-17T22:13:15Z
7/10 - ADVERTISING - Introduced Will to Emily for Adv opportunity,Noreen Henry,64266124,SalesAccount,,2014-07-17T22:17:35Z,17986512,TravelSupermarket,,,2014-07-17T22:17:35Z
7/10 - NDA- Wil sent their standard NDA for us to sign... I sent to Tim who made a few minor changes,Noreen Henry,64266124,SalesAccount,,2014-07-17T22:18:29Z,17986598,TravelSupermarket,,,2014-07-17T22:18:29Z
7/11 - DATA Request - NH sent a Data Request template to Wil...  also committed to a proposal and contract once the NDA is signed,Noreen Henry,64266124,SalesAccount,,2014-07-17T22:20:22Z,17986932,TravelSupermarket,,,2014-07-17T22:20:22Z
7/11 - IMPLEMENTATION:  NH sent request for a brief call with tech teams (AP request) to discuss the customized single ad unit at top of list page.  Will agreed to send over some dates/options,Noreen Henry,64266124,SalesAccount,,2014-07-17T22:22:13Z,17987278,TravelSupermarket,,,2014-07-17T22:22:45Z
7/14 - NDA - NH sent Will the NDA with minor changes for review... and followed up on ask for tech call,Noreen Henry,64266124,SalesAccount,,2014-07-17T22:23:20Z,17987541,TravelSupermarket,,,2014-07-17T22:23:20Z
7/17 - NDA & CONTRACT -NH received draft contract from Tim.  Sent note to Wil advising once NDA is signed I can send over.,Noreen Henry,64266124,SalesAccount,,2014-07-17T22:24:27Z,17987765,TravelSupermarket,,,2014-07-17T22:24:27Z
"7/14/2014 -INTRO CALL - NH conducted intro call with Juliana and reviewed all 3 products

See link for meeting notes:
https://docs.google.com/a/intentmedia.com/document/d/1xbgMzCH9czXbv-LMJdGdLqdg-rEK9uTJtu62I4iyUgM/edit",Noreen Henry,65238482,SalesAccount,,2014-07-17T22:37:03Z,17991229,Vegas.com,,,2014-07-17T22:38:07Z
"7/15 - NDA / INTEGRATION  /SIZING / HANDOUT - to support Juliana's internal meeting that day, I sent the following documents:
- NDA
- HANDOUT: Copy of the Presentation -- slimmed down version
- INTEGRATION DOC: Copy of standard integration doc forSC-Hotel
- DATA REQUEST TEMPLATE - requested she fill it out so we can size the business",Noreen Henry,65238482,SalesAccount,,2014-07-17T22:42:28Z,17992916,Vegas.com,,,2014-07-17T22:42:28Z
7/16 - NDA - Tim accepted the changes their legal requested and NH signed and sent to Julianna for counter signature,Noreen Henry,65238482,SalesAccount,,2014-07-17T22:43:26Z,17993246,Vegas.com,,,2014-07-17T22:43:26Z
7/1/2014 - Lucas Szcesny who is our contact at H.com for advertising - reached out to Dominic expressing interest in learning more about Meta from a Publisher perspective,Noreen Henry,65340712,SalesAccount,,2014-07-18T13:39:20Z,18206063,Hotels.com,,,2014-07-18T13:39:20Z
7/2/2014 - BRIEFING/ INTRO CALL. NH & PQ held a call with Lucas and Kartik from H.com to brief them on PPA and address initial questions they had.  From there we set up a formal Introductory meeting in London/Dallas with key stakeholders,Noreen Henry,65340712,SalesAccount,,2014-07-18T13:41:19Z,18206298,Hotels.com,,,2014-07-18T13:41:19Z
"7/9/2014 - INTEGRATION DOCUMENTS & SCREEN SHOTS - NH sent Lucas 2 PPA API documents  plus screen shots for his team to review before our meeting
1. PPA Implementation Guidelines - Hotels.com.pdf
2. PPA Client API verson 1.0 - Hotels.com.pdf
3. Intent Media - Property Price Ads.pdf",Noreen Henry,65340712,SalesAccount,,2014-07-18T13:44:37Z,18206420,Hotels.com,,,2014-07-18T13:52:54Z
"7/10/2014 INTRO MEETING IN LONDON - with Manish Gajria in London;  Lucas & Kartik in Dallas.  Adam Jay, SVP Product a was in Dallasn unable to join us. Manish will brief him.

See meeting notes here:
https://docs.google.com/a/intentmedia.com/document/d/1hbyhlOozFGC1kCf-vVpzhXxoIin4Y6cUIYB-9-dkS4Y/edit
",Noreen Henry,65340712,SalesAccount,,2014-07-18T13:49:52Z,18206590,Hotels.com,,,2014-07-18T15:16:39Z
"7/15/2014 QUARTERLY REVIEW + PPA BRIEFING @ H.com offices in Dallas
Spent 30 min reviewing PPA presentation with Heath Hammon, VP Meta

See meeting notes here:  https://docs.google.com/a/intentmedia.com/document/d/1qsK8HUN8Dng31tLd11hpb8D6dtU24kXxNfWPARmC26M/edit",Noreen Henry,65340712,SalesAccount,,2014-07-18T13:51:24Z,18206649,Hotels.com,,,2014-07-18T15:32:13Z
"7/16 - PPA HANDOUT- NH sent H.com team a slimmed down version of our presentation to review internally.
1. Intent Media Introduction to Hotels.com.pdf
",Noreen Henry,65340712,SalesAccount,,2014-07-18T13:55:20Z,18206948,Hotels.com,,,2014-07-18T13:55:20Z
"7/16 - MESO BRIEFING - call with Matthew to brief him on H.com and EAN opportunity.  Reviewed deck on opportunity size 
- PPA Opportunity Sizing Overview vF.pdf

See Call Notes from Jess:
https://docs.google.com/a/intentmedia.com/document/d/10BnpA9W8tAewDLuyKLpPyX8bpjUd5UUD0JZrAEL_YOE/edit",Noreen Henry,65340712,SalesAccount,,2014-07-18T15:57:55Z,18230957,Hotels.com,,,2014-07-18T15:57:55Z
7/15/2014 - CONTRACT: NH provided AirTickets with a contract,Noreen Henry,64266073,SalesAccount,,2014-07-18T16:45:05Z,18236279,AirTickets,,,2014-08-02T04:03:38Z
"7/14/2014 - INTEGRATION DOCS/TECH SPECS - sent to Antoine. (provided by Kyle)
There files:
1. One Page Integration Summary
2. API Technical Details
3. Content Feed Detail",Noreen Henry,64266104,SalesAccount,,2014-07-18T16:58:37Z,18237388,LateRooms,,,2014-07-18T16:58:37Z
"7/16/2014- SIZING: NH sent Antoine and Jesper - Revenue Projections. Recommended a call to walk thru.
- LateRooms Opportunity Sizing 15Jul14.pdf",Noreen Henry,64266104,SalesAccount,,2014-07-18T17:01:03Z,18237450,LateRooms,,,2014-07-18T17:01:03Z
"7/17/2014 - SIZING - Received an email from Antoine. They are please with the projections and requested additional information on Technical Specs Per his note:
""Once we have it, I will share this with our UX director and, in parallel, we will have a discussion around 1/do we want to proceed 2/in which way 3/timing and I will come back to you.""

I also offered to put together a business proposal 
•••
",Noreen Henry,64266104,SalesAccount,,2014-07-18T17:02:23Z,18237607,LateRooms,,,2014-07-18T17:02:23Z
"7/8/2014 - INTRO MEETING - in London with CMO.  Pitch idea of SC-Car for affiliate business and holiday autos.

See meeting notes here:
https://docs.google.com/a/intentmedia.com/document/d/1P_-qq716gMQ3Ljvnp0R4X0NUB7u5ijfZv2Tk8Bay2CQ/edit",Noreen Henry,64266083,SalesAccount,,2014-07-18T19:02:07Z,18264899,CarTrawler,,,2014-07-18T19:02:07Z
"7/18 MOCKUPS - sent H.com team  the specific mock up for PPA
- Intent Media Property Price Ads Mock Ups for Hotels.com.pdf",Noreen Henry,65340712,SalesAccount,,2014-07-18T20:23:36Z,18280032,Hotels.com,,,2014-07-18T20:23:36Z
