Plan Version,Placement,Category,Region,Country,Pub Tier,Deal Owner,Publisher,Site,Product,Path,Ad Unit Type,Close Date,Close Year,Close Quarter,Close Month,# of Placement-Level Deals Closed (Prob. Adj.),Adj. Launch Date,Launch Year,Launch Quarter,Launch Month,# of Placement Launches (Prob. Adj.),Non-Prob. Adj. Scope ($),Probability,Date,Monthly Revenue,FY2015E ($),FY2015E Exit Run rate ($),Avg. monthly launches
Operating,CheapOair - SCA - Flight - OP - List Page (Incremental Traffic),Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Flight,On Page,1/1/15,2015,1,1,0,4/1/15,2015,2,4,0,3750000,0.3,1/1/15,0,598949,1125000,
Operating,CheapOAir - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Hotel,On Page,8/2/15,2015,3,8,0,10/31/15,2015,4,10,0,480000,0.3,1/1/15,0,8298,144000,
Operating,CheapOAir - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Hotel,Exit Unit,8/2/15,2015,3,8,0,10/31/15,2015,4,10,0,910000,0.3,1/1/15,0,14269,218400,
Operating,Orbitz - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SCA,Car,Exit Unit,4/2/15,2015,2,4,0.4,7/1/15,2015,3,7,0,165754,0.35,1/1/15,0,14282,46411,
Operating,Hipmunk - SCA - Cars - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Car,iFC,4/27/15,2015,2,4,0,7/26/15,2015,3,7,0,25000,0.1,1/1/15,0,613,2500,
Operating,CheapTickets - PPA - Hotel - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,PPA,Hotel,Mobile Web,5/31/15,2015,2,5,0.8,8/29/15,2015,3,8,1,115000,0.75,1/1/15,0,20442,86250,
Operating,Cheaptickets - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,PPA,Hotel,On Page,3/2/15,2015,1,3,0,5/31/15,2015,2,5,0,165000,0.1,1/1/15,0,8311,16500,
Operating,Hotwire - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Car,Exit Unit,4/10/15,2015,2,4,0.8,7/9/15,2015,3,7,1,630000,0.75,1/1/15,0,108755,378000,
Operating,KAYAK - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Car,On Page,4/30/15,2015,2,4,1,7/29/15,2015,3,7,1,137582,0.9,1/1/15,0,29441,123824,
Operating,CheapTickets.com - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Flight,Mobile Web,4/30/15,2015,2,4,0.8,7/29/15,2015,3,7,1,359912,0.75,1/1/15,0,74437,269934,
Operating,Hotwire - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Car,On Page,4/2/15,2015,2,4,0.8,7/1/15,2015,3,7,1,1100000,0.75,1/1/15,0,253874,825000,
Operating,Travelzoo - SCA - Car - SF,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Travelzoo Inc.,Travelzoo,SCA,Car,Search Form,5/15/15,2015,2,5,1,8/13/15,2015,3,8,1,500000,0.5,1/1/15,0,50484,250000,
Operating,eDreams.net - SCA - Flight - OP - List Page,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.net,SCA,Flight,On Page,3/16/15,2015,1,3,1,6/14/15,2015,2,6,1,270000,0.8,1/1/15,0,76016,216000,
Operating,eDreams.net - SCA - Flight - XU,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.net,SCA,Flight,Exit Unit,6/15/15,2015,2,6,0.3,9/13/15,2015,3,9,0,160000,0.25,1/1/15,0,4781,32000,
Operating,Expedia.ca - SCA - Flight - XU,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.ca,SCA,Flight,Exit Unit,12/27/14,2014,4,12,1,3/27/15,2015,1,3,1,650000,0.9,1/1/15,0,261473,468000,
Operating,Expedia.ca - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.ca,SCA,Flight,On Page,5/2/15,2015,2,5,1,7/31/15,2015,3,7,1,605000,0.5,1/1/15,0,72333,302500,
Operating,Expedia.com - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,PPA,Hotel,On Page,5/30/15,2015,2,5,0.8,8/28/15,2015,3,8,1,10000000,0.75,1/1/15,0,1623878,7500000,
Operating,Expedia.com - PPA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,PPA,Hotel,On Page,5/30/15,2015,2,5,0.8,8/28/15,2015,3,8,1,42500000,0.75,1/1/15,0,6901480,31875000,
Operating,Travelocity - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,SCA,Car,On Page,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,320000,0.5,1/1/15,0,26275,160000,
Operating,Travelocity - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,SCA,Car,Exit Unit,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,420000,0.5,1/1/15,0,27589,168000,
Operating,Expedia.com - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Flight,Mobile Web,7/30/15,2015,3,7,0,10/28/15,2015,4,10,0,2200000,0.4,1/1/15,0,67174,880000,
Operating,Expedia.com - SCA - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Hotel,Mobile Web,7/30/15,2015,3,7,0,10/28/15,2015,4,10,0,1100000,0.4,1/1/15,0,29969,440000,
Operating,Hipmunk - SCA - Package - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Package,iFC,7/30/15,2015,3,7,0,10/28/15,2015,4,10,0,65000,0.1,1/1/15,0,423,6500,
Operating,Hotwire - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Package,On Page,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,350000,0.5,1/1/15,0,17715,175000,
Operating,Farespotter.net - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,FareSpotter.net,SCA,Hotel,Exit Unit,5/2/15,2015,2,5,0,7/31/15,2015,3,7,0,15113,0.1,1/1/15,0,300,1209,
Operating,Hotwire - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Package,Exit Unit,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,610000,0.5,1/1/15,0,24700,244000,
Operating,Fly.com - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Travelzoo Inc.,Fly.com,SCA,Flight,Mobile Web,5/29/15,2015,2,5,0.3,8/27/15,2015,3,8,0,190000,0.25,1/1/15,0,9519,47500,
Operating,Hipmunk - PPA - Hotel - OP,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,PPA,Hotel,On Page,5/2/15,2015,2,5,0.3,7/31/15,2015,3,7,0,50000,0.25,1/1/15,0,3833,12500,
Operating,KAYAK - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Package,On Page,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,347059,0.9,1/1/15,0,31620,312353,
Operating,Hipmunk - SCA - Flights / Hotels - Mobile App,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,Mobile App,3/3/15,2015,1,3,1,6/1/15,2015,2,6,1,20000,0.95,1/1/15,0,7914,19000,
Operating,Hipmunk - SCA - Flights / Hotels - Mobile Web,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,Mobile Web,6/30/15,2015,2,6,0.3,9/28/15,2015,3,9,0,130000,0.25,1/1/15,0,3389,32500,
Operating,Hipmunk - SCA - Hotel - Flight Cross-Sell,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,On Page,4/1/15,2015,2,4,0,6/30/15,2015,2,6,0,30000,0.1,1/1/15,0,893,3000,
Operating,KAYAK - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Package,Exit Unit,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,843919,0.9,1/1/15,0,61510,607622,
Operating,Hipmunk - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SSN,Hotel,On Page,10/29/14,2014,4,10,1,1/27/15,2015,1,1,1,31000,0.95,1/1/15,183,21480,29450,
Operating,Hipmunk/Yahoo - SCA - Flight - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Flight,iFC,12/2/14,2014,4,12,0.3,3/2/15,2015,1,3,0,30000,0.25,1/1/15,0,3076,7500,
Operating,Hipmunk/Yahoo - SCA - Hotel - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,iFC,12/2/14,2014,4,12,0.3,3/2/15,2015,1,3,0,50000,0.25,1/1/15,0,17846,12500,
Operating,HotelClub - PPA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",HotelClub,PPA,Hotel,On Page,1/30/15,2015,1,1,0.3,4/30/15,2015,2,4,0,368219,0.25,1/1/15,0,55792,92055,
Operating,HotelClub - SSN - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",HotelClub,SSN,Hotel,On Page,5/2/15,2015,2,5,0.3,7/31/15,2015,3,7,0,11600,0.25,1/1/15,0,648,2900,
Operating,HotelClub - SSN - Hotel - OP - Mobile Web - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",HotelClub,SSN,Hotel,Mobile Web,4/5/15,2015,2,4,0.3,7/4/15,2015,3,7,0,43000,0.25,1/1/15,0,3482,10750,
Operating,HotelReservations.com - SCA - Hotel - Home Page XU,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SCA,Hotel,Exit Unit,11/17/14,2014,4,11,1,2/15/15,2015,1,2,1,54250,0.9,1/1/15,0,27528,39060,
Operating,HotelReservations.com - SCA - Hotel - List Page XU,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SCA,Hotel,Exit Unit,11/17/14,2014,4,11,1,2/15/15,2015,1,2,1,54250,0.9,1/1/15,0,27528,39060,
Operating,HotelReservations.com - SSN - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SSN,Hotel,On Page,12/31/14,2014,4,12,1,3/31/15,2015,1,3,1,31000,0.9,1/1/15,0,15420,27900,
Operating,HotelReservations.com - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SSN,Hotel,On Page,11/19/14,2014,4,11,1,2/17/15,2015,1,2,1,123000,0.9,1/1/15,0,74615,110700,
Operating,HotelReservations.com - SSN - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SSN,Hotel,Mobile Web,12/31/14,2014,4,12,1,3/31/15,2015,1,3,1,43000,0.9,1/1/15,0,23529,38700,
Operating,Hotels.com - SCA - Flight - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Hotels.com,Hotels.com,SCA,Flight,On Page,10/17/14,2014,4,10,1,1/15/15,2015,1,1,1,360000,0.95,1/1/15,7063,246811,342000,
Operating,Hotels.com - SCA - Flight - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Hotels.com,Hotels.com,SCA,Flight,Exit Unit,10/17/14,2014,4,10,1,1/15/15,2015,1,1,1,210000,0.95,1/1/15,4638,118447,159600,
Operating,Hotels.com - SCA - Hotel - OP - List Page (Package page),Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Hotels.com,Hotels.com,SCA,Hotel,On Page,10/17/14,2014,4,10,1,1/15/15,2015,1,1,1,102000,0.95,1/1/15,1674,70768,96900,
Operating,CheapOAir - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Car,On Page,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,170000,0.3,1/1/15,0,4846,51000,
Operating,Hotwire - PPA - Hotel - Details Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,PPA,Hotel,On Page,3/31/15,2015,1,3,0.8,6/29/15,2015,2,6,1,6220000,0.75,1/1/15,0,1939371,4665000,
Operating,Hotwire - PPA - Hotel - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,PPA,Hotel,On Page,3/31/15,2015,1,3,0.8,6/29/15,2015,2,6,1,4150000,0.75,1/1/15,0,1293954,3112500,
Operating,CheapOAir - SCA - Car - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Car,Exit Unit,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,90000,0.3,1/1/15,0,2052,21600,
Operating,Farespotter.net - SCA - Car - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,FareSpotter.net,SCA,Car,Exit Unit,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,1702,0.1,1/1/15,0,13,136,
Operating,Hotwire - SCA - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Hotel,Mobile Web,9/30/15,2015,3,9,0,12/29/15,2015,4,12,0,450000,0.1,1/1/15,0,138,45000,
Operating,LowFares.com - SCA - Car - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,LowFares.com,SCA,Car,Exit Unit,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,7488,0.1,1/1/15,0,57,599,
Operating,Travelzoo - SCA - Package - SF,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Travelzoo Inc.,Travelzoo,SCA,Package,Search Form,7/14/15,2015,3,7,1,10/12/15,2015,4,10,1,1200000,0.5,1/1/15,0,49332,600000,
Operating,Expedia.com - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Car,On Page,7/30/15,2015,3,7,0.3,10/28/15,2015,4,10,0,1100176,0.25,1/1/15,0,17878,275044,
Operating,KAYAK - SCA - Flight - iFC (pre-check),Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,iFC,3/2/15,2015,1,3,1,5/31/15,2015,2,5,1,4050000,0.5,1/1/15,0,445228,2025000,
Operating,KAYAK - SCA - Flight - Mobile App,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK Mobile App,SCA,Flight,Mobile App,12/1/14,2014,4,12,1,3/1/15,2015,1,3,1,290000,0.9,1/1/15,0,180523,261000,
Operating,KAYAK - SCA - Flight - OP - List Page Backfill,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,On Page,11/3/14,2014,4,11,0.8,2/1/15,2015,1,2,1,2200000,0.75,1/1/15,0,1120888,1650000,
Operating,KAYAK - SCA - Flight - XU - Tablet,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,Mobile Web,3/2/15,2015,1,3,1,5/31/15,2015,2,5,1,1300000,0.95,1/1/15,0,538804,1235000,
Operating,KAYAK - SCA - Flights - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,Mobile Web,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,760000,0.8,1/1/15,0,118703,608000,
Operating,KAYAK - SCA - Hotel - Mobile App,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK Mobile App,SCA,Hotel,Mobile App,12/1/14,2014,4,12,1,3/1/15,2015,1,3,1,160000,0.9,1/1/15,0,101433,144000,
Operating,KAYAK - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Hotel,On Page,8/2/15,2015,3,8,0,10/31/15,2015,4,10,0,694117,0.1,1/1/15,0,4000,69412,
Operating,KAYAK - SCA - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Hotel,Mobile Web,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,239470,0.8,1/1/15,0,32509,191576,
Operating,KAYAK - SCA - Hotel - XU - Tablet,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Hotel,Mobile Web,4/2/15,2015,2,4,1,7/1/15,2015,3,7,1,670000,0.7,1/1/15,0,155965,469000,
Operating,Expedia.com - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Car,Exit Unit,7/30/15,2015,3,7,1,10/28/15,2015,4,10,1,858329,0.5,1/1/15,0,22317,343332,
Operating,BookIt.com - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SCA,Package,On Page,6/16/15,2015,2,6,0.8,9/14/15,2015,3,9,1,630000,0.75,1/1/15,0,61531,472500,
Operating,KAYAK - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SSN,Hotel,On Page,3/2/15,2015,1,3,0,5/31/15,2015,2,5,0,862043,0.1,1/1/15,0,32808,86204,
Operating,KAYAK - SSN - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SSN,Hotel,Mobile Web,5/31/15,2015,2,5,0,8/29/15,2015,3,8,0,297405,0.1,1/1/15,0,5047,29741,
Operating,KAYAK - SSN - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SSN,Package,On Page,3/2/15,2015,1,3,0,5/31/15,2015,2,5,0,373552,0.1,1/1/15,0,14497,37355,
Operating,KAYAK CA - SCA - Flight - XU - List Page,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,KAYAK,KAYAK Canada,SCA,Flight,Exit Unit,11/3/14,2014,4,11,1,2/1/15,2015,1,2,1,122500,0.9,1/1/15,0,61230,88200,
Operating,KAYAK CA - SCA - Flights - XU - Home Page,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,KAYAK,KAYAK Canada,SCA,Flight,Exit Unit,11/4/14,2014,4,11,1,2/2/15,2015,1,2,1,122500,0.9,1/1/15,0,60986,88200,
Operating,KAYAK CA - SCA - Hotel - XU - List Page,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,KAYAK,KAYAK Canada,SCA,Hotel,Exit Unit,11/3/14,2014,4,11,1,2/1/15,2015,1,2,1,35000,0.9,1/1/15,0,18774,25200,
Operating,KAYAK CA - SCA- Hotel - XU - Home Page,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,KAYAK,KAYAK Canada,SCA,Hotel,Exit Unit,11/3/14,2014,4,11,1,2/1/15,2015,1,2,1,35000,0.9,1/1/15,0,18774,25200,
Operating,Liligo US - SCA - Flight - OP - List Page,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,Liligo US,SCA,Flight,On Page,5/16/15,2015,2,5,1,8/14/15,2015,3,8,1,5000,0.6,1/1/15,0,621,3000,
Operating,BookIt.com - SCA - Package - XU,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SCA,Package,Exit Unit,6/16/15,2015,2,6,0.8,9/14/15,2015,3,9,1,1250000,0.75,1/1/15,0,97668,750000,
Operating,LowFares.com - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,LowFares.com,SCA,Hotel,Exit Unit,3/7/15,2015,1,3,0,6/5/15,2015,2,6,0,66497,0.1,1/1/15,0,2124,5320,
Operating,CheapOAir - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Package,On Page,7/31/15,2015,3,7,0,10/29/15,2015,4,10,0,120000,0.3,1/1/15,0,2301,36000,
Operating,CheapOAir - SCA - Package - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Package,Exit Unit,7/31/15,2015,3,7,0,10/29/15,2015,4,10,0,240000,0.3,1/1/15,0,3682,57600,
Operating,CheapTickets.com - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Package,On Page,7/31/15,2015,3,7,0,10/29/15,2015,4,10,0,44572,0.1,1/1/15,0,285,4457,
Operating,OneTravel - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,OneTravel,SCA,Hotel,On Page,8/2/15,2015,3,8,0,10/31/15,2015,4,10,0,220000,0.1,1/1/15,0,1268,22000,
Operating,OneTravel - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,OneTravel,SCA,Hotel,Exit Unit,4/4/15,2015,2,4,0,7/3/15,2015,3,7,0,410000,0.1,1/1/15,0,10824,32800,
Operating,CheapTickets.com - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Package,Exit Unit,7/31/15,2015,3,7,0,10/29/15,2015,4,10,0,77420,0.1,1/1/15,0,396,6194,
Operating,Orbitz - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SCA,Package,On Page,7/31/15,2015,3,7,0,10/29/15,2015,4,10,0,298344,0.1,1/1/15,0,1907,29834,
Operating,Orbitz - PPA - Hotel - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,PPA,Hotel,Mobile Web,5/31/15,2015,2,5,0.8,8/29/15,2015,3,8,1,1030000,0.75,1/1/15,0,183088,772500,
