Plan Version,Placement,Category,Region,Country,Pub Tier,Deal Owner,Publisher,Site,Product,Path,Ad Unit Type,Close Year,Close Quarter,Close Month,Deal ID,# of Product-Level Deals Closed (Prob. Adj.),# of Placement-Level Deals Closed (Prob. Adj.),Launch Year,Launch Quarter,Launch Month,# of Placement Launches (Prob. Adj.),Non-Prob. Adj. Scope ($),Probability,Date,Monthly Revenue,FY2015E ($),FY2015E Exit Run rate ($)
Operating,France Unnamed SCA Flight Exit Unit,Unnamed,Europe,France,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,11,,,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,90833.55893,362114.0421,1592391.621
Operating,France Unnamed SCA Hotel On-Page,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,75519.75625,309860.0129,1506029.759
Operating,France Unnamed SCA Hotel Exit Unit,Unnamed,Europe,France,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,11,,,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,117379.2783,481610.9915,2340800.54
Operating,France Unnamed SSN,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,122060.0399,706172.9514,2296666.667
Operating,France Unnamed PPA,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,95793.37429,392299.8463,1919047.619
Operating,Germany Unnamed SCA Flight On-Page,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,26043.36241,77064.25578,555840.3843
Operating,Germany Unnamed SCA Flight Exit Unit,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,11,,,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,16667.75194,49321.1237,355737.846
Operating,Germany Unnamed SCA Hotel On-Page,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,24852.55969,74351.70431,604200.0028
Operating,Germany Unnamed SCA Hotel Exit Unit,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,11,,,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,39764.09551,118962.7269,966720.0045
Operating,Germany Unnamed SSN,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,122060.0399,706172.9514,2296666.667
Operating,Germany Unnamed PPA,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,53864.64497,161147.5118,1309523.81
Operating,OneTravel - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,OneTravel,SCA,Car,On Page,2015,4,11,,,0.1,,,,,70000,0.1,11/1/15,0,0,7000
Operating,OneTravel - SCA - Car - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,OneTravel,SCA,Car,Exit Unit,2015,4,11,,,0.1,,,,,40000,0.1,11/1/15,0,0,3200
Operating,Expedia.co.uk - SCA - Flight - OP - Mobile Web,Installed Base Growth,Europe,United Kingdom,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.co.uk,SCA,Flight,Mobile Web,2015,4,11,,,0.1,,,,,139000,0.1,11/1/15,0,0,13900
Operating,KAYAK UK - SCA - Package - OP - List Page,Installed Base Growth,Europe,United Kingdom,Major,Jessica Jacobs,KAYAK,KAYAK UK,SCA,Package,On Page,2015,4,11,,,0.1,,,,,30000,0.1,11/1/15,0,0,3000
Operating,KAYAK UK - SCA - Package - XU,Installed Base Growth,Europe,United Kingdom,Major,Jessica Jacobs,KAYAK,KAYAK UK,SCA,Package,Exit Unit,2015,4,11,,,0.1,,,,,60000,0.1,11/1/15,0,0,4800
Operating,Liligo UK - SCA - Flight - iFC,Installed Base Growth,Europe,United Kingdom,Lite,Lynne Hamilton,eDreams Odigeo,Liligo UK,SCA,Flight,iFC,2015,4,11,,,0.1,,,,,4000,0.1,11/1/15,0,0,400
Operating,N. America Unnamed SCA Flight On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,10,,0.333333333,0.333333333,2015,4,10,0.333333333,0,1,10/1/15,38951.55767,205304.7256,755470.5192
Operating,N. America Unnamed SCA Flight Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,10,,,0.333333333,2015,4,10,0.333333333,0,1,10/1/15,25501.94529,132577.7937,501396.51
Operating,N. America Unnamed SCA Hotel On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,20834.2239,127484.662,502846.1354
Operating,N. America Unnamed SCA Hotel Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,10,,,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,20898.97892,125525.5488,511326.3371
Operating,N. America Unnamed SCA Car On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Car,On Page,2015,4,10,,0.083333333,0.083333333,2015,4,10,0.083333333,0,1,10/1/15,772.3147948,3720.932386,19583.33333
Operating,N. America Unnamed SCA Car Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Car,Exit Unit,2015,4,10,,,0.083333333,2015,4,10,0.083333333,0,1,10/1/15,463.3888769,2232.559432,11750
Operating,N. America Unnamed SSN,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,10,,0.333333333,0.333333333,2015,4,10,0.333333333,0,1,10/1/15,25396.62324,128593.4426,721971.5042
Operating,N. America Unnamed PPA,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,37124.03817,189336.8146,1085714.286
Operating,UK Unnamed SCA Flight On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,116453.5106,636276.9407,2317157.743
Operating,UK Unnamed SCA Flight Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,10,,,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,75739.98999,407883.1283,1529721.009
Operating,UK Unnamed SCA Hotel On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,76038.21967,484205.9139,1869640.215
Operating,UK Unnamed SCA Hotel Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,10,,,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,115473.1712,720783.0798,2882632.586
Operating,UK Unnamed SCA Package On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Package,On Page,2015,4,10,,0.333333333,0.333333333,2015,4,10,0.333333333,0,1,10/1/15,3243.722138,16405.98512,81250
Operating,UK Unnamed SCA Package Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Package,Exit Unit,2015,4,10,,,0.333333333,2015,4,10,0.333333333,0,1,10/1/15,6227.946505,31499.49144,156000
Operating,UK Unnamed SCA Car On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Car,On Page,2015,4,10,,0.166666667,0.166666667,2015,4,10,0.166666667,0,1,10/1/15,648.7444277,3281.197025,16250
Operating,UK Unnamed SCA Car Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Car,Exit Unit,2015,4,10,,,0.166666667,2015,4,10,0.166666667,0,1,10/1/15,518.9955421,2624.95762,13000
Operating,UK Unnamed SSN,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,10,,0.166666667,0.166666667,2015,4,10,0.166666667,0,1,10/1/15,22187.90502,143372.5909,530833.3333
Operating,UK Unnamed PPA,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,96553.96029,616856.0701,2404285.714
Operating,France Unnamed SCA Flight On-Page,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,107831.1404,534941.1986,2352396.713
Operating,France Unnamed SCA Flight Exit Unit,Unnamed,Europe,France,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,10,,,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,72993.38738,362114.0421,1592391.621
Operating,France Unnamed SCA Hotel On-Page,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,55763.98933,309860.0129,1506029.759
Operating,France Unnamed SCA Hotel Exit Unit,Unnamed,Europe,France,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,10,,,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,86673.17198,481610.9915,2340800.54
Operating,France Unnamed SSN,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,99212.41896,706172.9514,2296666.667
Operating,France Unnamed PPA,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,70158.13993,392299.8463,1919047.619
Operating,Germany Unnamed SCA Flight On-Page,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,12786.00272,77064.25578,555840.3843
Operating,Germany Unnamed SCA Flight Exit Unit,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,10,,,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,8183.041743,49321.1237,355737.846
Operating,Germany Unnamed SCA Hotel On-Page,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,11177.15445,74351.70431,604200.0028
Operating,Germany Unnamed SCA Hotel Exit Unit,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,10,,,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,17883.44712,118962.7269,966720.0045
Operating,Germany Unnamed SSN,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,99212.41896,706172.9514,2296666.667
Operating,Germany Unnamed PPA,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,10,,0.666666667,0.666666667,2015,4,10,0.666666667,0,1,10/1/15,24225.00796,161147.5118,1309523.81
Operating,Gogobot - SCA - Hotel - iFC,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Gogobot,Gogobot,SCA,Hotel,iFC,2015,4,10,,,0.1,,,,,30000,0.1,10/1/15,0,0,3000
Operating,Gogobot - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Gogobot,Gogobot,SSN,Hotel,On Page,2015,4,10,,,0.1,,,,,10000,0.1,10/1/15,0,0,1000
Operating,Liligo US - SCA - Flight - iFC,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,Liligo US,SCA,Flight,iFC,2015,4,10,,,0.1,,,,,3000,0.1,10/1/15,0,0,300
Operating,OneTravel - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,OneTravel,SCA,Package,On Page,2015,4,10,,,0.1,,,,,50000,0.1,10/1/15,0,4.798071931,5000
Operating,LowFares.com - SCA - Package - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,LowFares.com,SCA,Package,Exit Unit,2015,4,10,,,0.1,,,,,16624,0.1,10/1/15,0,0,1329.92
Operating,N. America Unnamed SCA Flight On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,3,9,,0.333333333,0.333333333,2015,3,9,0.333333333,0,1,9/1/15,27268.37957,205304.7256,755470.5192
Operating,N. America Unnamed SCA Flight Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,3,9,,,0.333333333,2015,3,9,0.333333333,0,1,9/1/15,17575.07448,132577.7937,501396.51
Operating,N. America Unnamed SCA Hotel On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,3,9,,0.666666667,0.666666667,2015,3,9,0.666666667,0,1,9/1/15,14683.46002,127484.662,502846.1354
Operating,N. America Unnamed SCA Hotel Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,3,9,,,0.666666667,2015,3,9,0.666666667,0,1,9/1/15,14499.91677,125525.5488,511326.3371
Operating,N. America Unnamed SCA Car On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Car,On Page,2015,3,9,,0.083333333,0.083333333,2015,3,9,0.083333333,0,1,9/1/15,432.1625811,3720.932386,19583.33333
