Placement,Category,Region,Country,Pub Tier,Deal Owner,Publisher,Site,Product,Path,Ad Unit Type,Close Date,Close Year,Close Quarter,Close Month,# of Deals Closed,Adj. Launch Date,Launch Year,Launch Quarter,Launch Month,Non-Prob. Adj. Scope ($),Probability,FY2015E ($),FY2015E Exit Run rate ($),Monthly Revenue,Date
BookIt.com - SCA - Package - XU,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SCA,Package,Exit Unit,6/16/15,2015,2,6,0.8,9/14/15,2015,3,9,1250000,0.75,97668,750000,0,1/1/15
BookIt.com - SSN - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Hotel,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,87000,0.50,9913,43500,0,1/1/15
BookIt.com - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Hotel,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,540000,0.50,61530,270000,0,1/1/15
BookIt.com - SSN - Package - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Package,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,85000,0.50,10137,42500,0,1/1/15
BookIt.com - SSN - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Package,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,465000,0.50,55458,232500,0,1/1/15
Bravofly - SCA - Flight - Exit Unit,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Bravofly Rumbo Group,Bravofly,SCA,Flight,Exit Unit,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,55000,0.25,3524,11000,0,1/1/15
Bravofly - SCA - Flight - On Page,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Bravofly Rumbo Group,Bravofly,SCA,Flight,On Page,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,65000,0.25,4384,16250,0,1/1/15
Budget Places - SCA - Hotel - Exit Unit,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Budget Places,Budget Places,SCA,Hotel,Exit Unit,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,800000,0.25,35724,160000,0,1/1/15
Budget Places - SCA - Hotel - On Page,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Budget Places,Budget Places,SCA,Hotel,On Page,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,875000,0.25,36641,218750,0,1/1/15
CheapOAir - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Car,On Page,7/3/15,2015,3,7,0,10/1/15,2015,4,10,170000,0.30,4846,51000,0,1/1/15
CheapOAir - SCA - Car - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Car,Exit Unit,7/3/15,2015,3,7,0,10/1/15,2015,4,10,90000,0.30,2052,21600,0,1/1/15
CheapOair - SCA - Flight - OP - List Page (Incremental Traffic),Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Flight,On Page,1/1/15,2015,1,1,0,4/1/15,2015,2,4,3750000,0.30,549574,1125000,0,1/1/15
CheapOAir - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Hotel,On Page,8/2/15,2015,3,8,0,10/31/15,2015,4,10,480000,0.30,7208,144000,0,1/1/15
CheapOAir - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Hotel,Exit Unit,8/2/15,2015,3,8,0,10/31/15,2015,4,10,910000,0.30,13254,218400,0,1/1/15
CheapOAir - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Package,On Page,7/31/15,2015,3,7,0,10/29/15,2015,4,10,120000,0.30,2301,36000,0,1/1/15
CheapOAir - SCA - Package - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Package,Exit Unit,7/31/15,2015,3,7,0,10/29/15,2015,4,10,240000,0.30,3682,57600,0,1/1/15
CheapTickets - PPA - Hotel - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,PPA,Hotel,Mobile Web,5/31/15,2015,2,5,0.8,8/29/15,2015,3,8,115000,0.75,20442,86250,0,1/1/15
Cheaptickets - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,PPA,Hotel,On Page,3/2/15,2015,1,3,0,5/31/15,2015,2,5,165000,0.10,8311,16500,0,1/1/15
Cheaptickets - PPA - Hotel - OP - List Page,Installed Base,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,PPA,Hotel,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,237463,1.00,503349,773490,23023,1/1/15
Cheaptickets - SCA - Flight - OP - List Page,Installed Base,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Flight,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,939852,1.00,664692,672796,54026,1/1/15
Cheaptickets - SCA - Flight - XU - Home Page,Installed Base,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Flight,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,2021052,1.00,1009608,1119711,84014,1/1/15
Cheaptickets - SSN - Hotel - OP - Details Page,Installed Base,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SSN,Hotel,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,18111,1.00,18647,19170,1305,1/1/15
Cheaptickets - SSN - Hotel - OP - List Page,Installed Base,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SSN,Hotel,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,140554,1.00,219432,219432,17926,1/1/15
Cheaptickets - SSN - Package - OP - List Page,Installed Base,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SSN,Package,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,1.00,178799,178512,14726,1/1/15
CheapTickets.com - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Car,On Page,4/2/15,2015,2,4,0.4,7/1/15,2015,3,7,30774,0.35,3314,10771,0,1/1/15
CheapTickets.com - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Car,Exit Unit,4/2/15,2015,2,4,0.4,7/1/15,2015,3,7,14912,0.35,1285,4175,0,1/1/15
CheapTickets.com - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Flight,Mobile Web,4/30/15,2015,2,4,0.8,7/29/15,2015,3,7,359912,0.75,74437,269934,0,1/1/15
CheapTickets.com - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Package,On Page,7/31/15,2015,3,7,0,10/29/15,2015,4,10,44572,0.10,285,4457,0,1/1/15
CheapTickets.com - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Package,Exit Unit,7/31/15,2015,3,7,0,10/29/15,2015,4,10,77420,0.10,396,6194,0,1/1/15
EasyToBook - SCA - Hotel - Exit Unit,BD Pipeline,N. America,United States,n/a,Noreen Henry,EasyToBook,EasyToBook,SCA,Hotel,Exit Unit,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,590000,0.25,19824,118000,0,1/1/15
EasyToBook - SCA - Hotel - On Page,BD Pipeline,N. America,United States,n/a,Noreen Henry,EasyToBook,EasyToBook,SCA,Hotel,On Page,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,500000,0.25,17321,125000,0,1/1/15
EasyVoyage - SCA - Flight - Exit Unit,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Easyvoyage,EasyVoyage,SCA,Flight,Exit Unit,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,550000,0.25,35239,110000,0,1/1/15
EasyVoyage - SCA - Flight - On Page,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Easyvoyage,EasyVoyage,SCA,Flight,On Page,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,300000,0.25,20234,75000,0,1/1/15
EasyVoyage - SCA - Hotel - Exit Unit,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Easyvoyage,EasyVoyage,SCA,Hotel,Exit Unit,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,300000,0.25,13397,60000,0,1/1/15
EasyVoyage - SCA - Hotel - On Page,BD Pipeline,Europe,United Kingdom,n/a,Noreen Henry,Easyvoyage,EasyVoyage,SCA,Hotel,On Page,6/3/15,2015,2,6,0.3,9/1/15,2015,3,9,250000,0.25,10469,62500,0,1/1/15
ebookers - PPA - Hotel - OP - Details Page,Installed Base Growth,Europe,United Kingdom,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,PPA,Hotel,On Page,3/2/15,2015,1,3,0,5/31/15,2015,2,5,20000,0.10,1007,2000,0,1/1/15
ebookers.ch - SSN - Hotel - OP - SRP,Installed Base Growth,Europe,Switzerland,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,SSN,Hotel,On Page,1/2/15,2015,1,1,0.3,4/2/15,2015,2,4,6400,0.25,719,1600,0,1/1/15
ebookers.com - PPA - Hotel - OP - List Page,Installed Base,Europe,United Kingdom,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,PPA,Hotel,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,25190,1.00,50533,61998,1979,1/1/15
ebookers.com - SCA - Flight - OP - List Page,Installed Base,Europe,United Kingdom,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,SCA,Flight,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,85422,1.00,158069,182990,11779,1/1/15
ebookers.com - SCA - Flight- XU - Home Page,Installed Base,Europe,United Kingdom,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,SCA,Flight,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,173646,1.00,261974,336582,16761,1/1/15
ebookers.com - SSN - Hotel - OP - List Page,Installed Base,Europe,United Kingdom,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,SSN,Hotel,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,21193,1.00,23262,23262,1900,1/1/15
ebookers.de - SSN - Hotel - OP - SRP,Installed Base Growth,Europe,Germany,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,SSN,Hotel,On Page,1/2/15,2015,1,1,0.3,4/2/15,2015,2,4,2500,0.25,281,625,0,1/1/15
ebookers.fr - SSN - Hotel - OP - SRP,Installed Base Growth,Europe,France,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",ebookers,SSN,Hotel,On Page,1/2/15,2015,1,1,0.3,4/2/15,2015,2,4,6800,0.25,764,1700,0,1/1/15
eDreams.co.uk - SCA - Flight - OP - List Page,Installed Base Growth,Europe,United Kingdom,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.co.uk,SCA,Flight,On Page,12/1/14,2014,4,12,1,3/1/15,2015,1,3,300000,0.95,236013,285000,0,1/1/15
eDreams.co.uk - SCA - Flight - XU,Installed Base Growth,Europe,United Kingdom,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.co.uk,SCA,Flight,Exit Unit,5/15/15,2015,2,5,0.3,8/13/15,2015,3,8,190000,0.25,13734,38000,0,1/1/15
eDreams.net - SCA - Flight - OP - List Page,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.net,SCA,Flight,On Page,3/16/15,2015,1,3,1,6/14/15,2015,2,6,270000,0.80,69749,216000,0,1/1/15
eDreams.net - SCA - Flight - XU,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.net,SCA,Flight,Exit Unit,6/15/15,2015,2,6,0.3,9/13/15,2015,3,9,160000,0.25,4636,32000,0,1/1/15
EMEA Car SCA Lite Exit Unit,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Exit Unit,SCA,Car,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Lite iFC,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,iFC,SCA,Car,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Lite MFI,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,MFI,SCA,Car,MFI,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Lite On-Page,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,On-Page,SCA,Car,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Lite Search Form,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Search Form,SCA,Car,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Strategic Exit Unit,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Exit Unit,SCA,Car,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Strategic iFC,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,iFC,SCA,Car,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Strategic MFI,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,MFI,SCA,Car,MFI,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Strategic On-Page,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,On-Page,SCA,Car,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Car SCA Strategic Search Form,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Search Form,SCA,Car,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Lite Exit Unit,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Exit Unit,SCA,Flight,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Lite iFC,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,iFC,SCA,Flight,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Lite MFI,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,MFI,SCA,Flight,MFI,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Lite On-Page,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,On-Page,SCA,Flight,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Lite Search Form,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Search Form,SCA,Flight,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Strategic Exit Unit,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Exit Unit,SCA,Flight,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Strategic iFC,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,iFC,SCA,Flight,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Strategic MFI,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,MFI,SCA,Flight,MFI,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Flights SCA Strategic On-Page,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,On-Page,SCA,Flight,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,35692,0.00,34017,39380,2535,1/1/15
EMEA Flights SCA Strategic Search Form,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Search Form,SCA,Flight,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Hotels SCA Lite Exit Unit,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Hotels SCA Lite iFC,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,iFC,SCA,Hotel,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Hotels SCA Lite On-Page,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,On-Page,SCA,Hotel,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Hotels SCA Lite Search Form,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Search Form,SCA,Hotel,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Hotels SCA Strategic Exit Unit,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Hotels SCA Strategic iFC,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,iFC,SCA,Hotel,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Hotels SCA Strategic On-Page,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,On-Page,SCA,Hotel,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,107138,0.00,96883,106092,6998,1/1/15
EMEA Hotels SCA Strategic Search Form,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Search Form,SCA,Hotel,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Lite Exit Unit,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Exit Unit,SCA,Package,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Lite iFC,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,iFC,SCA,Package,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Lite MFI,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,MFI,SCA,Package,MFI,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Lite On-Page,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,On-Page,SCA,Package,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Lite Search Form,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Search Form,SCA,Package,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Strategic Exit Unit,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Exit Unit,SCA,Package,Exit Unit,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Strategic iFC,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,iFC,SCA,Package,iFC,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Strategic MFI,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,MFI,SCA,Package,MFI,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Strategic On-Page,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,On-Page,SCA,Package,On Page,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA Package SCA Strategic Search Form,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Search Form,SCA,Package,Search Form,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA PPA Lite,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Other Installed Base,PPA,Hotel,0,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA PPA Strategic,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Other Installed Base,PPA,Hotel,0,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA SSN Hotels Lite,Installed Base,Europe,United Kingdom,Lite,n/a,Unnamed,Other Installed Base - Hotels,SSN,Hotel,0,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
EMEA SSN Hotels Packages,Installed Base,Europe,United Kingdom,Strategic,n/a,Unnamed,Other Installed Base - Packages,SSN,Package,0,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,0,0.00,0,0,0,1/1/15
